name,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,death_percentage
Global,136291755,1745.917642,2941128,37.67628689
United States of America,30888765,9331.88,556853,168.23
India,13689453,991.99,171058,12.4
Brazil,13482023,6342.71,353137,166.14
France,4987689,7668.72,98505,151.45
Russian Federation,4657883,3191.76,103601,70.99
The United Kingdom,4373347,6442.19,127100,187.23
Turkey,3903573,4628.43,34182,40.53
Italy,3779594,6337.19,114612,192.17
Spain,3336637,7049.34,76179,160.94
Germany,3022323,3634.05,78746,94.68
Poland,2599850,6849.26,59126,155.77
Colombia,2536198,4984.38,65889,129.49
Argentina,2532562,5603.54,57779,127.84
Mexico,2280213,1768.53,209338,162.36
Iran (Islamic Republic of),2093452,2492.41,64764,77.11
Ukraine,1872785,4282.24,37758,86.34
Peru,1647694,4997.27,54903,166.51
Czechia,1585037,14821.83,28038,262.19
Indonesia,1571824,574.66,42656,15.59
South Africa,1559113,2628.81,53356,89.96
Netherlands,1357340,7797.41,16791,96.46
Chile,1082920,5664.93,24483,128.07
Canada,1060157,2808.95,23315,61.77
Romania,1008490,5217.54,25248,130.62
Iraq,932899,2319.35,14757,36.69
Belgium,927229,8047.16,23503,203.98
Philippines,876225,799.61,15149,13.82
Sweden,857401,8302.04,13621,131.89
Israel,836261,9661.57,6304,72.83
Portugal,827765,8039.75,16916,164.3
Hungary,728078,7452.54,23980,245.46
Pakistan,725602,328.49,15501,7.02
Bangladesh,691957,420.16,9822,5.96
Jordan,669300,6559.75,7855,76.99
Serbia,645173,9314.28,5773,83.34
Switzerland,620278,7167.02,9766,112.84
Austria,575714,6467.92,9448,106.14
Japan,508802,402.29,9425,7.45
Morocco,502277,1360.79,8909,24.14
Lebanon,497854,7294.09,6703,98.21
United Arab Emirates,485675,4910.57,1533,15.5
Saudi Arabia,399277,1146.89,6765,19.43
Bulgaria,375115,5396.19,14619,210.3
Slovakia,371168,6800.6,10630,194.76
Malaysia,362173,1118.99,1333,4.12
Panama,358611,8311.25,6163,142.84
Ecuador,347070,1967.18,17298,98.04
Belarus,336881,3565.13,2363,25.01
Kazakhstan,325234,1732.11,3963,21.11
"occupied Palestinian territory, including east Jerusalem",299636,5873.59,3150,61.75
Greece,297086,2771.7,8961,83.6
Croatia,294874,7266.19,6358,156.67
Georgia,290129,7272.91,3894,97.61
Azerbaijan,287144,2832.03,3944,38.9
Bolivia (Plurinational State of),282095,2416.64,12451,106.66
Nepal,280524,962.78,3053,10.48
Tunisia,272940,2309.41,9332,78.96
Dominican Republic,258039,2378.7,3392,31.27
Kuwait,248729,5824.26,1412,33.06
Republic of Moldova,241820,5994.6,5409,134.09
Ireland,241330,4861.17,4785,96.39
Denmark,238306,4092.66,2443,41.96
Paraguay,235292,3298.85,4827,67.68
Ethiopia,230944,200.88,3208,2.79
Lithuania,227889,8156.11,3713,132.89
Slovenia,226787,10820.71,4411,210.46
Costa Rica,223917,4395.6,3030,59.48
Egypt,211307,206.49,12487,12.2
Armenia,204053,6886.16,3775,127.39
Guatemala,203309,1134.82,7020,39.18
Honduras,195780,1976.66,4804,48.5
Qatar,190998,6629.45,335,11.63
Bosnia and Herzegovina,184698,5629.64,7487,228.21
Venezuela (Bolivarian Republic of),174887,615.02,1778,6.25
Oman,173029,3388.32,1789,35.03
Libya,168676,2454.79,2828,41.16
Nigeria,163793,79.46,2060,1
Bahrain,157729,9269.59,562,33.03
Kenya,146156,271.81,2368,4.4
Uruguay,144642,4163.88,1462,42.09
Myanmar,142596,262.08,3206,5.89
North Macedonia,142034,6817.48,4262,204.57
Albania,128518,4465.84,2321,80.65
Algeria,118645,270.56,3134,7.15
Puerto Rico,115299,4030.23,2155,75.33
Estonia,115080,8659.3,1049,78.93
Republic of Korea,110688,215.9,1775,3.46
Latvia,107818,5651.8,1990,104.32
Norway,103620,1930.48,687,12.8
China,103136,7.01,4854,0.33
Kosovo[1],98298,5474.18,1986,110.6
Sri Lanka,95394,445.49,598,2.79
Montenegro,94417,15033.07,1373,218.61
Ghana,91260,293.7,754,2.43
Kyrgyzstan,90599,1388.66,1532,23.48
Zambia,90064,489.91,1227,6.67
Cuba,87385,771.5,467,4.12
Uzbekistan,85291,254.83,634,1.89
Finland,82278,1489.12,874,15.82
Mozambique,68792,220.1,791,2.53
El Salvador,66489,1025.08,2054,31.67
Luxembourg,63880,10202.71,772,123.3
Singapore,60678,1037.17,30,0.51
Afghanistan,57364,147.36,2529,6.5
Cameroon,57337,215.99,851,3.21
Cyprus,52033,5859.54,273,30.74
Namibia,45787,1802,575,22.63
Côte d’Ivoire,45227,171.46,268,1.02
Botswana,43444,1847.4,663,28.19
Jamaica,42763,1444.13,676,22.83
Uganda,41174,90.02,337,0.74
Senegal,39465,235.7,1079,6.44
Zimbabwe,37307,251.01,1542,10.37
Thailand,34575,49.53,97,0.14
Malawi,33859,176.99,1132,5.92
Sudan,31833,72.6,2063,4.7
Malta,29661,5764.3,402,78.12
Australia,29419,115.37,909,3.56
Democratic Republic of the Congo,28542,31.87,745,0.83
Madagascar,28541,103.07,506,1.83
Maldives,25701,4754.65,67,12.39
Angola,23549,71.65,554,1.69
Rwanda,23535,181.71,316,2.44
Guinea,21032,160.15,136,1.04
Gabon,20636,927.15,127,5.71
Syrian Arab Republic,20331,116.17,1385,7.91
Mayotte,19706,7223.21,167,61.21
Cabo Verde,19110,3437.13,184,33.09
French Polynesia,18666,6644.88,141,50.19
Réunion,18425,2057.94,135,15.08
Eswatini,18394,1585.47,669,57.66
Mauritania,18035,387.88,450,9.68
French Guiana,17549,5875.48,94,31.47
Mongolia,15718,479.46,25,0.76
Tajikistan,13714,143.79,91,0.95
Burkina Faso,12989,62.14,153,0.73
Haiti,12855,112.74,251,2.2
Andorra,12581,16282.92,121,156.6
Somalia,12566,79.07,624,3.93
Belize,12487,3140.37,318,79.97
Guadeloupe,12304,3075.05,189,47.24
Togo,12034,145.36,116,1.4
Mali,12002,59.27,414,2.04
Curaçao,11355,6919.86,66,40.22
Guyana,11149,1417.45,255,32.42
Lesotho,10709,499.9,315,14.7
South Sudan,10381,92.74,114,1.02
Congo,10084,182.74,137,2.48
Aruba,10050,9413.11,92,86.17
Djibouti,9975,1009.62,100,10.12
Bahamas,9439,2400.29,189,48.06
Suriname,9302,1585.66,182,31.02
Martinique,8887,2368.19,59,15.72
Papua New Guinea,8821,98.59,69,0.77
Trinidad and Tobago,8404,600.51,146,10.43
Guam,7631,4521.4,136,80.58
Benin,7515,61.99,93,0.77
Equatorial Guinea,7219,514.55,106,7.56
Iceland,6267,1721.07,29,7.96
Gambia,5602,231.81,168,6.95
Central African Republic,5465,113.15,74,1.53
Yemen,5450,18.27,1069,3.58
Nicaragua,5366,81,179,2.7
Niger,5074,20.96,189,0.78
San Marino,4962,14620.78,86,253.4
Cambodia,4696,28.09,33,0.2
Chad,4641,28.25,167,1.02
Seychelles,4563,4639.69,24,24.4
Saint Lucia,4348,2367.84,64,34.85
Gibraltar,4277,12694.78,94,279.01
Sierra Leone,4008,50.24,79,0.99
Comoros,3859,443.77,146,16.79
Barbados,3730,1297.96,44,15.31
Guinea-Bissau,3680,186.99,66,3.35
Eritrea,3466,97.73,10,0.28
Burundi,3262,27.43,6,0.05
Jersey,3230,2996.4,69,64.01
United States Virgin Islands,2988,2861.38,26,24.9
Liechtenstein,2848,7350.25,54,139.37
Viet Nam,2707,2.78,35,0.04
Monaco,2377,6056.98,31,78.99
Turks and Caicos Islands,2357,6087.61,17,43.91
Sao Tome and Principe,2266,1033.95,35,15.97
New Zealand,2231,46.26,26,0.54
Sint Maarten,2185,5095.38,27,62.96
Liberia,2066,40.85,85,1.68
Bermuda,1891,3036.63,16,25.69
Saint Vincent and the Grenadines,1806,1627.91,10,9.01
Saint Martin,1703,4405.18,13,33.63
Isle of Man,1575,1852.24,29,34.1
Bonaire,1493,7138.42,14,66.94
Antigua and Barbuda,1198,1223.34,30,30.63
Mauritius,1176,92.47,12,0.94
Timor-Leste,1074,81.46,2,0.15
Saint Barthélemy,928,9387.96,1,10.12
Bhutan,921,119.36,1,0.13
Guernsey,821,1273.5,14,21.72
Other,745,0,13,
Faroe Islands,661,1352.71,1,2.05
Cayman Islands,516,785.15,2,3.04
United Republic of Tanzania,509,0.85,21,0.04
Wallis and Futuna,446,3965.85,5,44.46
Brunei Darussalam,219,50.06,3,0.69
British Virgin Islands,178,588.68,1,3.31
Dominica,165,229.2,0,0
Northern Mariana Islands (Commonwealth of the),160,277.99,2,3.47
Grenada,158,140.42,1,0.89
New Caledonia,121,42.38,0,0
Fiji,68,7.59,2,0.22
Falkland Islands (Malvinas),60,1722.65,0,0
Lao People's Democratic Republic,52,0.71,0,0
Saint Kitts and Nevis,44,82.72,0,0
Greenland,31,54.6,0,0
Anguilla,29,193.31,0,0
Holy See,26,3213.84,0,0
Saint Pierre and Miquelon,25,431.41,0,0
Montserrat,20,400.08,1,20
Sint Eustatius,20,637.15,0,0
Solomon Islands,19,2.77,0,0
Saba,6,310.4,0,0
Marshall Islands,4,6.76,0,0
Samoa,4,2.02,0,0
Vanuatu,3,0.98,0,0
American Samoa,0,0,0,0
Cook Islands,0,0,0,0
Democratic People's Republic of Korea,0,0,0,0
Kiribati,0,0,0,0
Micronesia (Federated States of),0,0,0,0
Nauru,0,0,0,0
Niue,0,0,0,0
Palau,0,0,0,0
Pitcairn Islands,0,0,0,0
Tokelau,0,0,0,0
Tonga,0,0,0,0
Turkmenistan,0,0,0,0
Tuvalu,0,0,0,0